Name,Level,AgeDiff,Pull%,ISO,BB/K,Contact%,wRC+,AB,Final Score,BB%,K%,ZoneContact%,Whiff%,GB%,Chase%,O-Contact %,AvgEV,HardHit%,Barrel%,LastUpdated
Juan Elejandro 2B,,-0.7,38.9,0.053,0.69,73.2,91,113,27.96445513,,,,,,,,,,,
Malvin Fernandez 3B,,-1.7,54,0.035,0.85,68.9,71,113,29.01115385,,,,,,,,,,,
Yassel Garcia 3B,,-0.7,54.3,0.081,1.27,75.9,105,124,42.02749709,,,,,,,,,,,
Jake Steels LF,,1,39.1,0.04,0.6,81.8,71,200,34.80576923,,,,,,,,,,,
Elisandro Ramirez LF,,-0.7,50.9,0.047,0.6,65.1,97,85,19.85432692,,,,,,,,,,,
Dallas Macias LF,,0.6,47.8,0,0.33,81.1,-11,32,19.975,,,,,,,,,,,
Gabriel Cesa LF,,0.3,35.5,0.124,0.7,68.2,128,97,27.11875,,,,,,,,,,,
Elias Reyno LF,,-0.7,57,0.093,0.83,63.9,103,129,30.38948135,,,,,,,,,,,
Logan Braunschweig LF,,0,26.6,0.059,0.78,82.3,141,85,36.85,,,,,,,,,,,
Archer Brookman C,,3.8,44.8,0.069,0.39,75.9,75,204,23.36282051,,,,,,,,,,,
Carter Howell OF,,2.5,41,0.114,0.38,79.6,91,385,35.74846154,,,,,,,,,,,
Jordan Groshans 3B,,1.1,35.7,0.078,0.68,82,104,243,41.14935897,,,,,,,,,,,
